Time,No. Steps,Total Reward,final_position,Episode Length
0.015671968460083008,355,0.0,0.012654223347042075,400
0.0,7404,1.0,0.09965200885795635,80
0.0,14654,0.0,0.09364125276811136,121
0.01563096046447754,21885,1.0,0.09743751977222398,161
0.0,29058,1.0,0.09617209743751977,90
0.015619039535522461,36435,3.0,0.1879152167035748,443
0.01562047004699707,43396,1.0,0.09743751977222398,89
0.015603303909301758,51012,4.0,0.1879152167035748,536
0.015575647354125977,58202,1.0,0.09775387535590004,82
0.015619516372680664,65744,2.0,0.1372983233154065,425
0.015625476837158203,72716,1.0,0.09965200885795635,80
0.015640735626220703,79934,3.0,0.1879152167035748,482
0.015642404556274414,87151,2.0,0.1372983233154065,435
0.015619754791259766,94299,2.0,0.1372983233154065,465
0.015618324279785156,101162,3.0,0.22461246440999683,251
0.01563882827758789,108322,2.0,0.1372983233154065,449
0.015621185302734375,115932,3.0,0.1879152167035748,481
0.015624284744262695,123485,2.0,0.1372983233154065,416
0.015636205673217773,131063,4.0,0.22840873141410947,530
0.0,138148,1.0,0.09459031951913952,91
0.01565861701965332,145928,4.0,0.22840873141410947,600
0.015564918518066406,153586,2.0,0.1372983233154065,462
0.015656471252441406,160693,1.0,0.09965200885795635,80
0.015618562698364258,167934,3.0,0.22397975324264474,177
0.0,174979,1.0,0.09965200885795635,84
0.015642642974853516,182065,1.0,0.09648845302119582,89
0.0,189652,2.0,0.1372983233154065,467
0.01565265655517578,196811,1.0,0.06738373932299906,182
0.015636920928955078,203821,1.0,0.09933565327428029,91
0.0,210822,1.0,0.09965200885795635,80
0.015619993209838867,217843,1.0,0.09965200885795635,80
0.0,224979,1.0,0.09965200885795635,83
0.015650272369384766,232765,4.0,0.1372983233154065,549
0.015620946884155273,239959,3.0,0.09648845302119582,141
0.015619039535522461,247672,4.0,0.1372983233154065,543
0.015628337860107422,255268,2.0,0.1372983233154065,465
0.015627145767211914,262871,2.0,0.10249920911104081,481
0.007108449935913086,269982,1.0,0.09965200885795635,80
0.0,277418,2.0,0.1372983233154065,424
0.015636205673217773,285182,4.0,0.10439734261309712,566
0.015633106231689453,292893,4.0,0.1372983233154065,545
0.0,300061,1.0,0.09712116418854792,157
0.0,310640,4.0,0.0506168933881683,2584
0.015622377395629883,318167,2.0,0.09965200885795635,449
0.017144441604614258,325934,4.0,0.20721290730781397,539
0.015622138977050781,333521,2.0,0.09965200885795635,449
0.015637874603271484,348865,3.0,0.05409680480860487,6030
0.0,356570,4.0,0.1372983233154065,523
0.0,364320,4.0,0.1372983233154065,555
0.0,372083,4.0,0.1372983233154065,524
0.0,379852,4.0,0.1372983233154065,523
0.015623092651367188,387472,3.0,0.1879152167035748,447
0.015625476837158203,395385,4.0,0.1372983233154065,601
0.01564812660217285,403016,4.0,0.1372983233154065,548
0.015621423721313477,410307,3.0,0.22018348623853212,181
0.015623331069946289,417880,4.0,0.22397975324264474,471
0.0,425111,9.0,0.4432141727301487,195
0.0,432630,2.0,0.1372983233154065,477
0.0,442487,3.0,0.10281556469471687,2122
0.015644073486328125,450198,3.0,0.1879152167035748,456
0.015624284744262695,457821,2.0,0.1372983233154065,451
0.015617609024047852,465526,2.0,0.1372983233154065,449
0.015608072280883789,473167,2.0,0.1372983233154065,448
0.01564478874206543,480856,2.0,0.1372983233154065,449
0.01563405990600586,488460,2.0,0.1372983233154065,448
0.015653133392333984,496231,10.0,0.42929452704840243,580
