Time,No. Steps,Total Reward,final_position,Episode Length
0.01563239097595215,171,10.0,0.5681746282821892,354
Time,No. Steps,Total Reward,final_position,Episode Length
0.015638351440429688,281,10.0,0.5681746282821892,354
Time,No. Steps,Total Reward,final_position,Episode Length
0.0,200,3.0,0.1879152167035748,452
0.011420011520385742,3270,7.0,0.22840873141410947,836
Time,No. Steps,Total Reward,final_position,Episode Length
0.015625,378,3.0,0.1879152167035748,452
Time,No. Steps,Total Reward,final_position,Episode Length
0.015625953674316406,578,11.0,0.4049351471053464,629
Time,No. Steps,Total Reward,final_position,Episode Length
0.015628576278686523,217,4.0,0.25593166719392596,233
Time,No. Steps,Total Reward,final_position,Episode Length
0.01564478874206543,50,4.0,0.06928187282505537,226
0.01563882827758789,1695,4.0,0.0506168933881683,278
Time,No. Steps,Total Reward,final_position,Episode Length
0.015629291534423828,100,4.0,0.2103764631445745,402
Time,No. Steps,Total Reward,final_position,Episode Length
0.0156404972076416,349,4.0,0.2103764631445745,402
Time,No. Steps,Total Reward,final_position,Episode Length
Time,No. Steps,Total Reward,final_position,Episode Length
0.017894506454467773,350,3.0,0.22366339765896867,69
0.022140979766845703,12853,6.0,0.3568490983865865,108
0.017872095108032227,27456,19.0,0.9471686175260994,884
0.024688005447387695,40577,10.0,0.5653274280291047,173
0.01762843132019043,55648,15.0,0.7447010439734262,1014
0.018609285354614258,69679,3.0,0.1879152167035748,451
0.01839733123779297,84861,5.0,0.2840873141410946,504
0.04583883285522461,97695,8.0,0.44764315090161344,134
0.011237144470214844,110174,11.0,0.5748180955393862,163
0.011382341384887695,122918,12.0,0.6377728566909205,180
0.018415212631225586,142769,6.0,0.07149636191078773,1737
0.02656388282775879,154864,1.0,0.09965200885795635,27
0.026067256927490234,167750,10.0,0.5292628914900348,144
0.05078458786010742,179607,3.0,0.22840873141410947,132
0.011426925659179688,193302,3.0,0.22271433090794052,269
0.014327526092529297,205764,8.0,0.4498576399873458,128
0.04239773750305176,218640,8.0,0.45143941790572606,134
0.014850616455078125,231638,12.0,0.6384055678582727,182
0.01566910743713379,251709,13.0,0.6545397026257513,2005
0.02741098403930664,264814,10.0,0.5627965833596963,166
0.020638227462768555,278680,15.0,0.7747548244226511,302
0.018963098526000977,291676,12.0,0.6371401455235685,178
0.018137454986572266,305797,16.0,0.7282505536222714,637
0.011028766632080078,318293,10.0,0.5637456501107244,167
0.017751216888427734,334391,15.0,0.7231888642834546,661
0.027176618576049805,347452,11.0,0.6172097437519772,168
0.010268211364746094,360863,15.0,0.7772856690920594,282
0.018059968948364258,376551,14.0,0.7042075292628915,602
0.013864278793334961,390162,15.0,0.7728566909205947,287
0.010502338409423828,403115,15.0,0.7820310028472003,224
0.017480850219726562,417268,16.0,0.7380575767162291,712
0.04195117950439453,430800,15.0,0.7712749130022145,222
0.010968208312988281,443882,12.0,0.6418854792787093,175
0.007653713226318359,457228,15.0,0.7820310028472003,226
0.010687112808227539,470130,15.0,0.7801328693451439,225
0.018007278442382812,483835,15.0,0.7722239797532426,278
0.01757502555847168,498658,14.0,0.6488453021195824,662
0.010564565658569336,511506,15.0,0.7813982916798482,225
0.01786971092224121,525856,16.0,0.7298323315406517,667
0.031084537506103516,538218,15.0,0.7757038911736792,222
0.02665233612060547,551696,15.0,0.7753875355900032,223
0.022098302841186523,564948,15.0,0.7817146472635242,225
0.01466512680053711,584450,15.0,0.7598861119898767,2005
0.017693758010864258,597024,11.0,0.5707054729515976,159
0.050315141677856445,613433,16.0,0.7231888642834546,666
0.01881694793701172,628421,14.0,0.7042075292628915,598
0.014871597290039062,650129,15.0,0.7197089528630181,2005
0.03802800178527832,663667,15.0,0.7712749130022145,226
0.017623424530029297,679557,16.0,0.7282505536222714,652
0.031822919845581055,698015,15.0,0.7222397975324264,2005
0.01878952980041504,713508,14.0,0.689022461246441,600
0.01835918426513672,727513,16.0,0.7598861119898767,635
0.011583805084228516,741186,15.0,0.7715912685858906,304
0.035031795501708984,755233,16.0,0.7282505536222714,643
0.046844482421875,767100,15.0,0.7829800695982284,249
0.04698324203491211,780882,16.0,0.7282505536222714,631
0.007691860198974609,792202,15.0,0.7829800695982284,220
0.012121200561523438,804868,15.0,0.7832964251819045,218
0.011369705200195312,816547,11.0,0.6134134767478646,176
0.017902374267578125,830184,16.0,0.7282505536222714,717
0.03157210350036621,841981,25.0,1.0,329
0.017813920974731445,853774,10.0,0.5656437836127808,155
0.011642694473266602,865947,25.0,1.0,363
0.011095762252807617,877297,11.0,0.5748180955393862,156
0.01793956756591797,890174,15.0,0.7829800695982284,484
0.0426478385925293,903299,14.0,0.7042075292628915,599
0.017566442489624023,914610,15.0,0.7839291363492565,225
0.012542963027954102,926110,15.0,0.781081936096172,279
0.019283294677734375,938063,17.0,0.871875988611199,521
0.017937183380126953,951125,16.0,0.7282505536222714,676
0.018169641494750977,965981,16.0,0.7598861119898767,731
0.01735210418701172,977969,15.0,0.7801328693451439,225
0.04728364944458008,992573,19.0,0.9319835495096488,682
0.024060487747192383,1003655,11.0,0.5741853843720341,155
0.013670206069946289,1016172,15.0,0.7820310028472003,244
0.017322778701782227,1028832,16.0,0.7598861119898767,664
0.010780096054077148,1039967,11.0,0.5748180955393862,155
0.017907381057739258,1052553,16.0,0.749762733312243,618
0.039703369140625,1066994,16.0,0.732046820626384,608
0.010838747024536133,1078198,11.0,0.5748180955393862,155
0.03029155731201172,1090375,15.0,0.7725403353369187,554
0.018132448196411133,1104115,16.0,0.7598861119898767,631
0.007488727569580078,1118729,15.0,0.780765580512496,1226
0.014197826385498047,1135170,15.0,0.7393229990509332,2005
0.0321500301361084,1147942,16.0,0.7396393546346093,724
0.017524003982543945,1161390,16.0,0.7352103764631446,644
0.007523775100708008,1173675,15.0,0.7715912685858906,277
0.017920970916748047,1186624,16.0,0.7383739322999051,621
0.024638891220092773,1200146,16.0,0.7386902878835812,666
0.017315387725830078,1213199,16.0,0.7295159759569756,765
0.01794886589050293,1226162,16.0,0.7598861119898767,650
0.014262914657592773,1242786,15.0,0.7358430876304967,2005
0.03313946723937988,1255078,16.0,0.7348940208794685,604
0.04609084129333496,1267996,16.0,0.7345776652957925,606
0.02895951271057129,1280246,15.0,0.7801328693451439,515
0.05114412307739258,1295128,16.0,0.7358430876304967,607
0.01865363121032715,1309252,16.0,0.7352103764631446,819
0.019340991973876953,1321770,16.0,0.7352103764631446,627
0.01921868324279785,1334149,14.0,0.689022461246441,584
0.015333890914916992,1352165,15.0,0.7409047769693136,2005
0.011044740676879883,1363518,25.0,1.0,271
0.018630504608154297,1375158,25.0,1.0,329
0.01897144317626953,1387035,25.0,1.0,330
0.01444101333618164,1399686,25.0,1.0,531
0.01956462860107422,1411977,25.0,1.0,376
0.019226551055908203,1423499,25.0,1.0,317
0.011519908905029297,1434943,25.0,1.0,312
0.01119852066040039,1446528,25.0,1.0,314
0.03032660484313965,1458551,25.0,1.0,320
0.04801297187805176,1471194,25.0,1.0,310
0.026143789291381836,1483029,25.0,1.0,311
0.027869462966918945,1495119,25.0,1.0,314
0.012672901153564453,1506561,25.0,1.0,294
0.015246868133544922,1518018,25.0,1.0,302
0.04996132850646973,1530806,25.0,1.0,310
0.011367321014404297,1542429,25.0,1.0,292
0.014240026473999023,1554451,25.0,1.0,294
0.01797771453857422,1567539,25.0,1.0,554
0.011098384857177734,1578580,11.0,0.5745017399557102,156
0.02897191047668457,1591200,25.0,1.0,354
0.03053116798400879,1603385,25.0,1.0,309
0.00774073600769043,1614825,25.0,1.0,353
0.03055596351623535,1627485,25.0,1.0,303
0.04531431198120117,1640049,25.0,1.0,307
0.010791778564453125,1651337,25.0,1.0,286
0.04899144172668457,1663889,25.0,1.0,292
0.007433652877807617,1675779,25.0,1.0,292
0.014884233474731445,1687712,25.0,1.0,286
0.0455021858215332,1700928,25.0,1.0,314
0.017496109008789062,1713063,25.0,1.0,293
0.02601480484008789,1724296,25.0,1.0,286
0.012403249740600586,1737085,25.0,1.0,295
0.018325328826904297,1748700,25.0,1.0,345
0.007931947708129883,1760265,25.0,1.0,333
0.04374837875366211,1771667,15.0,0.7801328693451439,234
0.007831335067749023,1783664,25.0,1.0,287
0.024236679077148438,1795153,25.0,1.0,309
0.019343852996826172,1806630,25.0,1.0,292
0.015439033508300781,1818055,25.0,1.0,314
0.011381149291992188,1829551,25.0,1.0,291
0.007905006408691406,1841004,15.0,0.781081936096172,241
0.008313894271850586,1852284,25.0,1.0,293
0.015344619750976562,1863672,25.0,1.0,329
0.012164592742919922,1875592,25.0,1.0,294
0.018508195877075195,1886934,25.0,1.0,292
0.00780940055847168,1898054,15.0,0.7813982916798482,257
0.011315107345581055,1909544,15.0,0.7813982916798482,291
0.011742115020751953,1921136,25.0,1.0,334
0.019321680068969727,1932914,25.0,1.0,299
0.019154071807861328,1944123,25.0,1.0,303
0.018982648849487305,1955455,25.0,1.0,318
0.015027523040771484,1966655,25.0,1.0,282
0.008084774017333984,1978440,25.0,1.0,368
0.011949777603149414,1989728,25.0,1.0,301
0.0193939208984375,2001939,25.0,1.0,317
0.01921868324279785,2013300,25.0,1.0,316
0.019030332565307617,2024896,25.0,1.0,307
0.00784611701965332,2036842,25.0,1.0,327
0.00787663459777832,2048162,25.0,1.0,329
0.011362314224243164,2059410,25.0,1.0,294
0.00778651237487793,2071067,25.0,1.0,296
0.020055770874023438,2082453,25.0,1.0,279
0.01518559455871582,2093666,25.0,1.0,276
0.011740922927856445,2105387,25.0,1.0,302
0.01852703094482422,2116954,15.0,0.7801328693451439,223
0.0190122127532959,2128618,25.0,1.0,277
0.01771378517150879,2139718,25.0,1.0,283
0.02770256996154785,2152370,25.0,1.0,306
0.007680177688598633,2163598,25.0,1.0,317
0.014258384704589844,2175666,25.0,1.0,300
0.007608652114868164,2188152,25.0,1.0,331
0.014739274978637695,2200406,25.0,1.0,332
0.04196643829345703,2213513,25.0,1.0,382
